[LOG] time=15.6016s, world_size=4, ep_per_proc=2500, epsilon=0.973622, eval_avg_score=2410.44
[LOG] time=39.7642s, world_size=4, ep_per_proc=5000, epsilon=0.947233, eval_avg_score=2638.32
[LOG] time=63.8045s, world_size=4, ep_per_proc=7500, epsilon=0.920844, eval_avg_score=2708.52
[LOG] time=95.3135s, world_size=4, ep_per_proc=10000, epsilon=0.894455, eval_avg_score=2970.78
[LOG] time=125.319s, world_size=4, ep_per_proc=12500, epsilon=0.868066, eval_avg_score=3066.56
[LOG] time=162.806s, world_size=4, ep_per_proc=15000, epsilon=0.841677, eval_avg_score=3255.84
[LOG] time=199.351s, world_size=4, ep_per_proc=17500, epsilon=0.815288, eval_avg_score=3294.49
[LOG] time=244.023s, world_size=4, ep_per_proc=20000, epsilon=0.788899, eval_avg_score=3475.43
[LOG] time=285.909s, world_size=4, ep_per_proc=22500, epsilon=0.762511, eval_avg_score=3517.42
[LOG] time=336.491s, world_size=4, ep_per_proc=25000, epsilon=0.736122, eval_avg_score=3771.69
[LOG] time=383.649s, world_size=4, ep_per_proc=27500, epsilon=0.709733, eval_avg_score=3895.83
[LOG] time=443.202s, world_size=4, ep_per_proc=30000, epsilon=0.683344, eval_avg_score=4044.65
[LOG] time=499.224s, world_size=4, ep_per_proc=32500, epsilon=0.656955, eval_avg_score=4031.26
[LOG] time=565.709s, world_size=4, ep_per_proc=35000, epsilon=0.630566, eval_avg_score=4362.56
[LOG] time=627.762s, world_size=4, ep_per_proc=37500, epsilon=0.604177, eval_avg_score=4220.71
[LOG] time=708.887s, world_size=4, ep_per_proc=40000, epsilon=0.577788, eval_avg_score=4380.85
[LOG] time=778.379s, world_size=4, ep_per_proc=42500, epsilon=0.551399, eval_avg_score=4661.77
[LOG] time=864.515s, world_size=4, ep_per_proc=45000, epsilon=0.525011, eval_avg_score=4875.79
[LOG] time=946.384s, world_size=4, ep_per_proc=47500, epsilon=0.498622, eval_avg_score=4785.26
[LOG] time=1036.37s, world_size=4, ep_per_proc=50000, epsilon=0.472233, eval_avg_score=5092.48
[LOG] time=1120.47s, world_size=4, ep_per_proc=52500, epsilon=0.445844, eval_avg_score=5257.25
[LOG] time=1221.02s, world_size=4, ep_per_proc=55000, epsilon=0.419455, eval_avg_score=5455.51
[LOG] time=1318.09s, world_size=4, ep_per_proc=57500, epsilon=0.393066, eval_avg_score=5734.42
[LOG] time=1429.74s, world_size=4, ep_per_proc=60000, epsilon=0.366677, eval_avg_score=5883.62
[LOG] time=1542.69s, world_size=4, ep_per_proc=62500, epsilon=0.340288, eval_avg_score=5963.53
[LOG] time=1670.8s, world_size=4, ep_per_proc=65000, epsilon=0.313899, eval_avg_score=6304.92
[LOG] time=1798.28s, world_size=4, ep_per_proc=67500, epsilon=0.287511, eval_avg_score=6135.37
[LOG] time=1945.15s, world_size=4, ep_per_proc=70000, epsilon=0.261122, eval_avg_score=6856.63
[LOG] time=2095.9s, world_size=4, ep_per_proc=72500, epsilon=0.234733, eval_avg_score=6598.17
[LOG] time=2275.88s, world_size=4, ep_per_proc=75000, epsilon=0.208344, eval_avg_score=6951.33
[LOG] time=2457.73s, world_size=4, ep_per_proc=77500, epsilon=0.181955, eval_avg_score=7279.97
[LOG] time=2673.94s, world_size=4, ep_per_proc=80000, epsilon=0.155566, eval_avg_score=7669.66
[LOG] time=2874.97s, world_size=4, ep_per_proc=82500, epsilon=0.129177, eval_avg_score=7817.09
[LOG] time=3101.29s, world_size=4, ep_per_proc=85000, epsilon=0.102788, eval_avg_score=8566.26
[LOG] time=3332.61s, world_size=4, ep_per_proc=87500, epsilon=0.0763994, eval_avg_score=8997.42
[LOG] time=3601.48s, world_size=4, ep_per_proc=90000, epsilon=0.0500106, eval_avg_score=9935.65
[LOG] time=3874.02s, world_size=4, ep_per_proc=92500, epsilon=0.05, eval_avg_score=10082.1
[LOG] time=4165.94s, world_size=4, ep_per_proc=95000, epsilon=0.05, eval_avg_score=10626.2
[LOG] time=4443.09s, world_size=4, ep_per_proc=97500, epsilon=0.05, eval_avg_score=10091.1
[LOG] time=4741.2s, world_size=4, ep_per_proc=100000, epsilon=0.05, eval_avg_score=10702.1
[PROFILE] mpi_average_weights total time per rank (sum): 4735.98 s, avg per rank: 1183.99 s, max rank time: 1329.93 s
Weights saved to 2048_weights_mpi.pkl
MPI training finished. Weights saved to 2048_weights_mpi.pkl
