[LOG] time=4.51269s, world_size=1, ep_per_proc=1000, epsilon=0.989455, eval_avg_score=2091.44
[LOG] time=11.2376s, world_size=1, ep_per_proc=2000, epsilon=0.978899, eval_avg_score=2254
[LOG] time=17.8992s, world_size=1, ep_per_proc=3000, epsilon=0.968344, eval_avg_score=2060.6
[LOG] time=24.6731s, world_size=1, ep_per_proc=4000, epsilon=0.957788, eval_avg_score=2278.64
[LOG] time=31.7206s, world_size=1, ep_per_proc=5000, epsilon=0.947233, eval_avg_score=2447.32
[LOG] time=38.8377s, world_size=1, ep_per_proc=6000, epsilon=0.936677, eval_avg_score=2417.88
[LOG] time=46.3534s, world_size=1, ep_per_proc=7000, epsilon=0.926122, eval_avg_score=2548.12
[LOG] time=53.9995s, world_size=1, ep_per_proc=8000, epsilon=0.915566, eval_avg_score=2500
[LOG] time=61.471s, world_size=1, ep_per_proc=9000, epsilon=0.905011, eval_avg_score=2439.28
[LOG] time=69.0984s, world_size=1, ep_per_proc=10000, epsilon=0.894455, eval_avg_score=2661.96
[LOG] time=77.1826s, world_size=1, ep_per_proc=11000, epsilon=0.883899, eval_avg_score=2755.24
[LOG] time=85.464s, world_size=1, ep_per_proc=12000, epsilon=0.873344, eval_avg_score=2573.12
[LOG] time=93.838s, world_size=1, ep_per_proc=13000, epsilon=0.862788, eval_avg_score=2780.2
[LOG] time=102.3s, world_size=1, ep_per_proc=14000, epsilon=0.852233, eval_avg_score=2879.2
[LOG] time=111.282s, world_size=1, ep_per_proc=15000, epsilon=0.841677, eval_avg_score=2901.24
[LOG] time=120.493s, world_size=1, ep_per_proc=16000, epsilon=0.831122, eval_avg_score=2794
[LOG] time=129.606s, world_size=1, ep_per_proc=17000, epsilon=0.820566, eval_avg_score=3101.8
[LOG] time=139.092s, world_size=1, ep_per_proc=18000, epsilon=0.810011, eval_avg_score=3156.4
[LOG] time=149.191s, world_size=1, ep_per_proc=19000, epsilon=0.799455, eval_avg_score=3255.28
[LOG] time=159.526s, world_size=1, ep_per_proc=20000, epsilon=0.788899, eval_avg_score=2862.76
[LOG] time=169.694s, world_size=1, ep_per_proc=21000, epsilon=0.778344, eval_avg_score=3036.84
[LOG] time=180.239s, world_size=1, ep_per_proc=22000, epsilon=0.767788, eval_avg_score=3515.16
[LOG] time=191.333s, world_size=1, ep_per_proc=23000, epsilon=0.757233, eval_avg_score=3037.68
[LOG] time=202.434s, world_size=1, ep_per_proc=24000, epsilon=0.746677, eval_avg_score=3289.52
[LOG] time=213.648s, world_size=1, ep_per_proc=25000, epsilon=0.736122, eval_avg_score=3243.76
[LOG] time=225.144s, world_size=1, ep_per_proc=26000, epsilon=0.725566, eval_avg_score=3513.92
[LOG] time=237.033s, world_size=1, ep_per_proc=27000, epsilon=0.715011, eval_avg_score=3065.12
[LOG] time=248.717s, world_size=1, ep_per_proc=28000, epsilon=0.704455, eval_avg_score=3388.72
[LOG] time=260.715s, world_size=1, ep_per_proc=29000, epsilon=0.693899, eval_avg_score=3182.84
[LOG] time=273.054s, world_size=1, ep_per_proc=30000, epsilon=0.683344, eval_avg_score=3197.96
[LOG] time=285.585s, world_size=1, ep_per_proc=31000, epsilon=0.672788, eval_avg_score=3383.92
[LOG] time=298.577s, world_size=1, ep_per_proc=32000, epsilon=0.662233, eval_avg_score=3237.6
[LOG] time=312.119s, world_size=1, ep_per_proc=33000, epsilon=0.651677, eval_avg_score=3488.56
[LOG] time=325.664s, world_size=1, ep_per_proc=34000, epsilon=0.641122, eval_avg_score=3711.4
